DEVICES,CDP,CDP_ALLOW_INTERFACES,CDP_BLOCK_INTERFACES,CDP_TIMER,CDP_HOLDTIME,LLDP,LLDP_ALLOW_INTERFACES_TRANSMIT,LLDP_BLOCK_INTERFACES_TRANSMIT,LLDP_ALLOW_INTERFACES_RECEIVE,LLDP_BLOCK_INTERFACES_RECEIVE,LLDP_TIMER,LLDP_HOLDTIME
192.168.65.11,yes,gi0/0,gi0/1-gi0/2-gi0/3,100,100,no,no,no,no,no,no,no
192.168.65.12,no,no,no,no,no,yes,gi0/0,gi0/1-gi0/2-gi0/3,gi0/0,gi0/1-gi0/2-gi0/3,100,100
192.168.65.13,yes,gi0/0,gi0/1-gi0/2-gi0/3,100,100,no,no,no,no,no,no,no
192.168.65.21,yes,gi0/0,gi1/0,100,100,yes,gi1/0,gi0/0,gi1/0,gi0/0,100,100
192.168.65.22,no,no,no,no,no,yes,gi0/0-gi1/1,no,gi0/0-gi1/1,no,100,100
192.168.65.23,yes,gi0/0,gi1/2,100,100,yes,gi1/2,gi0/0,gi1/2,gi0/0,100,100
192.168.65.24,no,no,no,no,no,yes,gi1/0-gi1/1-gi1/2,no,gi1/0-gi1/1-gi1/2,no,100,100
